seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0@(0)  581  443,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,3,1,2,6,9,1,12
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0@(0)  248  776,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,3,1,4,6,9,1,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  555  469,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,3,1,5,6,9,1,15
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  587  437,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,3,1,6,6,9,1,16
([])^2Gxpi2:0@(0)  575  449,,[],2,Gxpi2:0,,Gxpi2:0,-1,1,2,2,-1,7,2,12
([])^2Gypi2:0@(0)  542  482,,[],2,Gypi2:0,,Gypi2:0,-1,1,2,3,-1,7,2,13
([])^2Gxpi2:0Gxpi2:0@(0)  254  770,,[],2,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,2,4,-1,7,2,14
Gypi2:0([])^2Gypi2:0@(0)  300  724,Gypi2:0,[],2,Gypi2:0,Gypi2:0,Gypi2:0,3,1,2,3,3,7,2,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^2@(0)  567  457,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,2,-1,5,7,2,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^2Gxpi2:0@(0)  835  189,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,2,2,5,7,2,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^2Gypi2:0@(0)  541  483,Gxpi2:0Gxpi2:0Gxpi2:0,[],2,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,2,3,5,7,2,13
Gypi2:0Gypi2:0Gypi2:0([])^2Gxpi2:0@(0)  536  488,Gypi2:0Gypi2:0Gypi2:0,[],2,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,2,2,6,7,2,12
Gypi2:0Gypi2:0Gypi2:0([])^2Gxpi2:0Gxpi2:0@(0)  598  426,Gypi2:0Gypi2:0Gypi2:0,[],2,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,2,4,6,7,2,14
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^2Gypi2:0Gypi2:0Gypi2:0@(0)  252  772,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,2,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,2,6,6,8,2,16
Gxpi2:0(Gypi2:0)^2Gxpi2:0Gxpi2:0Gxpi2:0@(0)  855  169,Gxpi2:0,Gypi2:0,2,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,2,5,2,9,2,15
Gypi2:0(Gxpi2:0Gypi2:0)Gypi2:0Gypi2:0Gypi2:0@(0)  571  453,Gypi2:0,Gxpi2:0Gypi2:0,1,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,1,6,3,10,1,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)Gypi2:0@(0)  289  735,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,1,3,5,10,1,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)Gxpi2:0Gxpi2:0@(0)  550  474,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,1,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,1,4,5,10,1,14
([])^4Gxpi2:0@(0)  594  430,,[],4,Gxpi2:0,,Gxpi2:0,-1,1,4,2,-1,7,4,12
([])^4Gypi2:0@(0)  550  474,,[],4,Gypi2:0,,Gypi2:0,-1,1,4,3,-1,7,4,13
([])^4Gxpi2:0Gxpi2:0@(0)  261  763,,[],4,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,4,4,-1,7,4,14
Gypi2:0([])^4Gypi2:0@(0)  280  744,Gypi2:0,[],4,Gypi2:0,Gypi2:0,Gypi2:0,3,1,4,3,3,7,4,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^4@(0)  531  493,Gxpi2:0Gxpi2:0Gxpi2:0,[],4,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,4,-1,5,7,4,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^4Gxpi2:0@(0)  869  155,Gxpi2:0Gxpi2:0Gxpi2:0,[],4,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,4,2,5,7,4,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^4Gypi2:0@(0)  571  453,Gxpi2:0Gxpi2:0Gxpi2:0,[],4,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,4,3,5,7,4,13
Gypi2:0Gypi2:0Gypi2:0([])^4Gxpi2:0@(0)  559  465,Gypi2:0Gypi2:0Gypi2:0,[],4,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,4,2,6,7,4,12
Gypi2:0Gypi2:0Gypi2:0([])^4Gxpi2:0Gxpi2:0@(0)  571  453,Gypi2:0Gypi2:0Gypi2:0,[],4,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,4,4,6,7,4,14
Gxpi2:0(Gxpi2:0)^4Gxpi2:0Gxpi2:0Gxpi2:0@(0)  830  194,Gxpi2:0,Gxpi2:0,4,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,4,5,2,8,4,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^4Gypi2:0Gypi2:0Gypi2:0@(0)  226  798,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,4,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,4,6,6,8,4,16
Gxpi2:0(Gypi2:0)^4Gxpi2:0Gxpi2:0Gxpi2:0@(0)  816  208,Gxpi2:0,Gypi2:0,4,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,4,5,2,9,4,15
Gypi2:0(Gypi2:0)^4Gxpi2:0Gxpi2:0@(0)  549  475,Gypi2:0,Gypi2:0,4,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,4,4,3,9,4,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^4Gypi2:0@(0)  861  163,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,4,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,4,3,6,9,4,13
Gxpi2:0(Gxpi2:0Gypi2:0)^2Gxpi2:0@(0)  537  487,Gxpi2:0,Gxpi2:0Gypi2:0,2,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,2,2,2,10,2,12
Gxpi2:0(Gxpi2:0Gypi2:0)^2Gypi2:0Gypi2:0Gypi2:0@(0)  574  450,Gxpi2:0,Gxpi2:0Gypi2:0,2,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,2,6,2,10,2,16
Gypi2:0(Gxpi2:0Gypi2:0)^2Gypi2:0Gypi2:0Gypi2:0@(0)  537  487,Gypi2:0,Gxpi2:0Gypi2:0,2,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,2,6,3,10,2,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^2Gypi2:0@(0)  568  456,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,2,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,2,3,5,10,2,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^2Gxpi2:0Gxpi2:0@(0)  856  168,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,2,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,2,4,5,10,2,14
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)Gxpi2:0Gxpi2:0@(0)  885  139,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,1,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,1,4,3,11,1,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)Gypi2:0@(0)  565  459,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,1,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,1,3,5,11,1,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)Gxpi2:0Gxpi2:0Gxpi2:0@(0)  525  499,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,1,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,1,5,6,11,1,15
([])^8Gxpi2:0@(0)  558  466,,[],8,Gxpi2:0,,Gxpi2:0,-1,1,8,2,-1,7,8,12
([])^8Gypi2:0@(0)  549  475,,[],8,Gypi2:0,,Gypi2:0,-1,1,8,3,-1,7,8,13
([])^8Gxpi2:0Gxpi2:0@(0)  292  732,,[],8,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,8,4,-1,7,8,14
Gypi2:0([])^8Gypi2:0@(0)  281  743,Gypi2:0,[],8,Gypi2:0,Gypi2:0,Gypi2:0,3,1,8,3,3,7,8,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^8@(0)  570  454,Gxpi2:0Gxpi2:0Gxpi2:0,[],8,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,8,-1,5,7,8,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^8Gxpi2:0@(0)  858  166,Gxpi2:0Gxpi2:0Gxpi2:0,[],8,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,8,2,5,7,8,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^8Gypi2:0@(0)  557  467,Gxpi2:0Gxpi2:0Gxpi2:0,[],8,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,8,3,5,7,8,13
Gypi2:0Gypi2:0Gypi2:0([])^8Gxpi2:0@(0)  535  489,Gypi2:0Gypi2:0Gypi2:0,[],8,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,8,2,6,7,8,12
Gypi2:0Gypi2:0Gypi2:0([])^8Gxpi2:0Gxpi2:0@(0)  575  449,Gypi2:0Gypi2:0Gypi2:0,[],8,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,8,4,6,7,8,14
(Gxpi2:0)^8Gxpi2:0Gxpi2:0Gxpi2:0@(0)  558  466,,Gxpi2:0,8,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,2,8,5,-1,8,8,15
Gxpi2:0(Gxpi2:0)^8Gxpi2:0Gxpi2:0Gxpi2:0@(0)  851  173,Gxpi2:0,Gxpi2:0,8,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,8,5,2,8,8,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^8Gypi2:0Gypi2:0Gypi2:0@(0)  206  818,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,8,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,8,6,6,8,8,16
Gxpi2:0(Gypi2:0)^8Gxpi2:0Gxpi2:0Gxpi2:0@(0)  813  211,Gxpi2:0,Gypi2:0,8,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,8,5,2,9,8,15
Gypi2:0(Gypi2:0)^8Gxpi2:0Gxpi2:0@(0)  510  514,Gypi2:0,Gypi2:0,8,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,8,4,3,9,8,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^8Gypi2:0@(0)  852  172,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,8,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,8,3,6,9,8,13
Gxpi2:0(Gxpi2:0Gypi2:0)^4Gxpi2:0@(0)  583  441,Gxpi2:0,Gxpi2:0Gypi2:0,4,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,4,2,2,10,4,12
Gxpi2:0(Gxpi2:0Gypi2:0)^4Gypi2:0Gypi2:0Gypi2:0@(0)  241  783,Gxpi2:0,Gxpi2:0Gypi2:0,4,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,4,6,2,10,4,16
Gypi2:0(Gxpi2:0Gypi2:0)^4Gypi2:0Gypi2:0Gypi2:0@(0)  558  466,Gypi2:0,Gxpi2:0Gypi2:0,4,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,4,6,3,10,4,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^4Gypi2:0@(0)  249  775,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,4,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,4,3,5,10,4,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^4Gxpi2:0Gxpi2:0@(0)  536  488,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,4,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,4,4,5,10,4,14
(Gxpi2:0Gxpi2:0Gypi2:0)^2@(0)  842  182,,Gxpi2:0Gxpi2:0Gypi2:0,2,,,,-1,5,2,-1,-1,11,2,-1
Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^2Gxpi2:0Gxpi2:0Gxpi2:0@(0)  888  136,Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,2,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,5,2,5,2,11,2,15
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^2Gxpi2:0Gxpi2:0@(0)  542  482,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,2,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,2,4,3,11,2,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^2Gypi2:0@(0)  580  444,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,2,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,2,3,5,11,2,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^2Gxpi2:0Gxpi2:0Gxpi2:0@(0)  578  446,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,2,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,2,5,6,11,2,15
([])^16Gxpi2:0@(0)  551  473,,[],16,Gxpi2:0,,Gxpi2:0,-1,1,16,2,-1,7,16,12
([])^16Gypi2:0@(0)  538  486,,[],16,Gypi2:0,,Gypi2:0,-1,1,16,3,-1,7,16,13
([])^16Gxpi2:0Gxpi2:0@(0)  263  761,,[],16,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,16,4,-1,7,16,14
Gypi2:0([])^16Gypi2:0@(0)  272  752,Gypi2:0,[],16,Gypi2:0,Gypi2:0,Gypi2:0,3,1,16,3,3,7,16,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^16@(0)  531  493,Gxpi2:0Gxpi2:0Gxpi2:0,[],16,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,16,-1,5,7,16,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^16Gxpi2:0@(0)  850  174,Gxpi2:0Gxpi2:0Gxpi2:0,[],16,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,16,2,5,7,16,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^16Gypi2:0@(0)  540  484,Gxpi2:0Gxpi2:0Gxpi2:0,[],16,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,16,3,5,7,16,13
Gypi2:0Gypi2:0Gypi2:0([])^16Gxpi2:0@(0)  564  460,Gypi2:0Gypi2:0Gypi2:0,[],16,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,16,2,6,7,16,12
Gypi2:0Gypi2:0Gypi2:0([])^16Gxpi2:0Gxpi2:0@(0)  572  452,Gypi2:0Gypi2:0Gypi2:0,[],16,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,16,4,6,7,16,14
(Gxpi2:0)^16Gxpi2:0Gxpi2:0Gxpi2:0@(0)  538  486,,Gxpi2:0,16,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,2,16,5,-1,8,16,15
Gxpi2:0(Gxpi2:0)^16Gxpi2:0Gxpi2:0Gxpi2:0@(0)  847  177,Gxpi2:0,Gxpi2:0,16,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,16,5,2,8,16,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^16Gypi2:0Gypi2:0Gypi2:0@(0)  229  795,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,16,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,16,6,6,8,16,16
Gxpi2:0(Gypi2:0)^16Gxpi2:0Gxpi2:0Gxpi2:0@(0)  828  196,Gxpi2:0,Gypi2:0,16,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,16,5,2,9,16,15
Gypi2:0(Gypi2:0)^16Gxpi2:0Gxpi2:0@(0)  542  482,Gypi2:0,Gypi2:0,16,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,16,4,3,9,16,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^16Gypi2:0@(0)  850  174,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,16,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,16,3,6,9,16,13
Gxpi2:0(Gxpi2:0Gypi2:0)^8Gxpi2:0@(0)  544  480,Gxpi2:0,Gxpi2:0Gypi2:0,8,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,8,2,2,10,8,12
Gxpi2:0(Gxpi2:0Gypi2:0)^8Gypi2:0Gypi2:0Gypi2:0@(0)  529  495,Gxpi2:0,Gxpi2:0Gypi2:0,8,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,8,6,2,10,8,16
Gypi2:0(Gxpi2:0Gypi2:0)^8Gypi2:0Gypi2:0Gypi2:0@(0)  576  448,Gypi2:0,Gxpi2:0Gypi2:0,8,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,8,6,3,10,8,16
