seq,A,G,d,B,P,M,P_enc,G_enc,d_enc,M_enc,P_enc_seq,G_enc_seq,d_enc_seq,M_enc_seq
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^42Gxpi2:0Gxpi2:0@(0)  545  479,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,42,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,42,4,3,11,42,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^42Gypi2:0@(0)  581  443,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,42,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,42,3,5,11,42,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^42Gxpi2:0Gxpi2:0Gxpi2:0@(0)  564  460,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,42,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,42,5,6,11,42,15
([])^256Gxpi2:0@(0)  588  436,,[],256,Gxpi2:0,,Gxpi2:0,-1,1,256,2,-1,7,256,12
([])^256Gypi2:0@(0)  553  471,,[],256,Gypi2:0,,Gypi2:0,-1,1,256,3,-1,7,256,13
([])^256Gxpi2:0Gxpi2:0@(0)  798  226,,[],256,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,256,4,-1,7,256,14
Gypi2:0([])^256Gypi2:0@(0)  253  771,Gypi2:0,[],256,Gypi2:0,Gypi2:0,Gypi2:0,3,1,256,3,3,7,256,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^256@(0)  500  524,Gxpi2:0Gxpi2:0Gxpi2:0,[],256,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,256,-1,5,7,256,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^256Gxpi2:0@(0)  325  699,Gxpi2:0Gxpi2:0Gxpi2:0,[],256,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,256,2,5,7,256,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^256Gypi2:0@(0)  566  458,Gxpi2:0Gxpi2:0Gxpi2:0,[],256,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,256,3,5,7,256,13
Gypi2:0Gypi2:0Gypi2:0([])^256Gxpi2:0@(0)  559  465,Gypi2:0Gypi2:0Gypi2:0,[],256,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,256,2,6,7,256,12
Gypi2:0Gypi2:0Gypi2:0([])^256Gxpi2:0Gxpi2:0@(0)  566  458,Gypi2:0Gypi2:0Gypi2:0,[],256,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,256,4,6,7,256,14
(Gxpi2:0)^256Gxpi2:0Gxpi2:0Gxpi2:0@(0)  378  646,,Gxpi2:0,256,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,2,256,5,-1,8,256,15
Gxpi2:0(Gxpi2:0)^256Gxpi2:0Gxpi2:0Gxpi2:0@(0)  781  243,Gxpi2:0,Gxpi2:0,256,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,256,5,2,8,256,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^256Gypi2:0Gypi2:0Gypi2:0@(0)  232  792,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,256,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,256,6,6,8,256,16
Gxpi2:0(Gypi2:0)^256Gxpi2:0Gxpi2:0Gxpi2:0@(0)  820  204,Gxpi2:0,Gypi2:0,256,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,256,5,2,9,256,15
Gypi2:0(Gypi2:0)^256Gxpi2:0Gxpi2:0@(0)  364  660,Gypi2:0,Gypi2:0,256,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,256,4,3,9,256,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^256Gypi2:0@(0)  787  237,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,256,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,256,3,6,9,256,13
Gxpi2:0(Gxpi2:0Gypi2:0)^128Gxpi2:0@(0)  581  443,Gxpi2:0,Gxpi2:0Gypi2:0,128,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,128,2,2,10,128,12
Gxpi2:0(Gxpi2:0Gypi2:0)^128Gypi2:0Gypi2:0Gypi2:0@(0)  486  538,Gxpi2:0,Gxpi2:0Gypi2:0,128,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,128,6,2,10,128,16
Gypi2:0(Gxpi2:0Gypi2:0)^128Gypi2:0Gypi2:0Gypi2:0@(0)  503  521,Gypi2:0,Gxpi2:0Gypi2:0,128,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,128,6,3,10,128,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^128Gypi2:0@(0)  494  530,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,128,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,128,3,5,10,128,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^128Gxpi2:0Gxpi2:0@(0)  838  186,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,128,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,128,4,5,10,128,14
(Gxpi2:0Gxpi2:0Gypi2:0)^85@(0)  556  468,,Gxpi2:0Gxpi2:0Gypi2:0,85,,,,-1,5,85,-1,-1,11,85,-1
Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^85Gxpi2:0Gxpi2:0Gxpi2:0@(0)  266  758,Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,85,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,5,85,5,2,11,85,15
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^85Gxpi2:0Gxpi2:0@(0)  809  215,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,85,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,85,4,3,11,85,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^85Gypi2:0@(0)  494  530,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,85,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,85,3,5,11,85,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^85Gxpi2:0Gxpi2:0Gxpi2:0@(0)  517  507,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,85,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,85,5,6,11,85,15
([])^512Gxpi2:0@(0)  452  572,,[],512,Gxpi2:0,,Gxpi2:0,-1,1,512,2,-1,7,512,12
([])^512Gypi2:0@(0)  533  491,,[],512,Gypi2:0,,Gypi2:0,-1,1,512,3,-1,7,512,13
([])^512Gxpi2:0Gxpi2:0@(0)  440  584,,[],512,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,512,4,-1,7,512,14
Gypi2:0([])^512Gypi2:0@(0)  312  712,Gypi2:0,[],512,Gypi2:0,Gypi2:0,Gypi2:0,3,1,512,3,3,7,512,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^512@(0)  640  384,Gxpi2:0Gxpi2:0Gxpi2:0,[],512,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,512,-1,5,7,512,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^512Gxpi2:0@(0)  672  352,Gxpi2:0Gxpi2:0Gxpi2:0,[],512,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,512,2,5,7,512,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^512Gypi2:0@(0)  551  473,Gxpi2:0Gxpi2:0Gxpi2:0,[],512,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,512,3,5,7,512,13
Gypi2:0Gypi2:0Gypi2:0([])^512Gxpi2:0@(0)  557  467,Gypi2:0Gypi2:0Gypi2:0,[],512,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,512,2,6,7,512,12
Gypi2:0Gypi2:0Gypi2:0([])^512Gxpi2:0Gxpi2:0@(0)  565  459,Gypi2:0Gypi2:0Gypi2:0,[],512,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,512,4,6,7,512,14
(Gxpi2:0)^512Gxpi2:0Gxpi2:0Gxpi2:0@(0)  306  718,,Gxpi2:0,512,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,2,512,5,-1,8,512,15
Gxpi2:0(Gxpi2:0)^512Gxpi2:0Gxpi2:0Gxpi2:0@(0)  637  387,Gxpi2:0,Gxpi2:0,512,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,512,5,2,8,512,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^512Gypi2:0Gypi2:0Gypi2:0@(0)  284  740,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,512,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,512,6,6,8,512,16
Gxpi2:0(Gypi2:0)^512Gxpi2:0Gxpi2:0Gxpi2:0@(0)  821  203,Gxpi2:0,Gypi2:0,512,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,512,5,2,9,512,15
Gypi2:0(Gypi2:0)^512Gxpi2:0Gxpi2:0@(0)  293  731,Gypi2:0,Gypi2:0,512,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,512,4,3,9,512,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^512Gypi2:0@(0)  604  420,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,512,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,512,3,6,9,512,13
Gxpi2:0(Gxpi2:0Gypi2:0)^256Gxpi2:0@(0)  441  583,Gxpi2:0,Gxpi2:0Gypi2:0,256,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,256,2,2,10,256,12
Gxpi2:0(Gxpi2:0Gypi2:0)^256Gypi2:0Gypi2:0Gypi2:0@(0)  323  701,Gxpi2:0,Gxpi2:0Gypi2:0,256,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,256,6,2,10,256,16
Gypi2:0(Gxpi2:0Gypi2:0)^256Gypi2:0Gypi2:0Gypi2:0@(0)  659  365,Gypi2:0,Gxpi2:0Gypi2:0,256,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,256,6,3,10,256,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^256Gypi2:0@(0)  294  730,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,256,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,256,3,5,10,256,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^256Gxpi2:0Gxpi2:0@(0)  487  537,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,256,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,256,4,5,10,256,14
(Gxpi2:0Gxpi2:0Gypi2:0)^170@(0)  817  207,,Gxpi2:0Gxpi2:0Gypi2:0,170,,,,-1,5,170,-1,-1,11,170,-1
Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^170Gxpi2:0Gxpi2:0Gxpi2:0@(0)  812  212,Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,170,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,5,170,5,2,11,170,15
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^170Gxpi2:0Gxpi2:0@(0)  557  467,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,170,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,170,4,3,11,170,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^170Gypi2:0@(0)  653  371,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,170,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,170,3,5,11,170,13
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^170Gxpi2:0Gxpi2:0Gxpi2:0@(0)  671  353,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,170,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,6,5,170,5,6,11,170,15
([])^1024Gxpi2:0@(0)  529  495,,[],1024,Gxpi2:0,,Gxpi2:0,-1,1,1024,2,-1,7,1024,12
([])^1024Gypi2:0@(0)  580  444,,[],1024,Gypi2:0,,Gypi2:0,-1,1,1024,3,-1,7,1024,13
([])^1024Gxpi2:0Gxpi2:0@(0)  565  459,,[],1024,Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0,-1,1,1024,4,-1,7,1024,14
Gypi2:0([])^1024Gypi2:0@(0)  346  678,Gypi2:0,[],1024,Gypi2:0,Gypi2:0,Gypi2:0,3,1,1024,3,3,7,1024,13
Gxpi2:0Gxpi2:0Gxpi2:0([])^1024@(0)  591  433,Gxpi2:0Gxpi2:0Gxpi2:0,[],1024,,Gxpi2:0Gxpi2:0Gxpi2:0,,5,1,1024,-1,5,7,1024,-1
Gxpi2:0Gxpi2:0Gxpi2:0([])^1024Gxpi2:0@(0)  556  468,Gxpi2:0Gxpi2:0Gxpi2:0,[],1024,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,5,1,1024,2,5,7,1024,12
Gxpi2:0Gxpi2:0Gxpi2:0([])^1024Gypi2:0@(0)  554  470,Gxpi2:0Gxpi2:0Gxpi2:0,[],1024,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,1,1024,3,5,7,1024,13
Gypi2:0Gypi2:0Gypi2:0([])^1024Gxpi2:0@(0)  564  460,Gypi2:0Gypi2:0Gypi2:0,[],1024,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,6,1,1024,2,6,7,1024,12
Gypi2:0Gypi2:0Gypi2:0([])^1024Gxpi2:0Gxpi2:0@(0)  567  457,Gypi2:0Gypi2:0Gypi2:0,[],1024,Gxpi2:0Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0Gxpi2:0,6,1,1024,4,6,7,1024,14
(Gxpi2:0)^1024Gxpi2:0Gxpi2:0Gxpi2:0@(0)  400  624,,Gxpi2:0,1024,Gxpi2:0Gxpi2:0Gxpi2:0,,Gxpi2:0Gxpi2:0Gxpi2:0,-1,2,1024,5,-1,8,1024,15
Gxpi2:0(Gxpi2:0)^1024Gxpi2:0Gxpi2:0Gxpi2:0@(0)  437  587,Gxpi2:0,Gxpi2:0,1024,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,2,1024,5,2,8,1024,15
Gypi2:0Gypi2:0Gypi2:0(Gxpi2:0)^1024Gypi2:0Gypi2:0Gypi2:0@(0)  301  723,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,1024,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,6,2,1024,6,6,8,1024,16
Gxpi2:0(Gypi2:0)^1024Gxpi2:0Gxpi2:0Gxpi2:0@(0)  807  217,Gxpi2:0,Gypi2:0,1024,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,3,1024,5,2,9,1024,15
Gypi2:0(Gypi2:0)^1024Gxpi2:0Gxpi2:0@(0)  364  660,Gypi2:0,Gypi2:0,1024,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,3,1024,4,3,9,1024,14
Gypi2:0Gypi2:0Gypi2:0(Gypi2:0)^1024Gypi2:0@(0)  428  596,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,1024,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,6,3,1024,3,6,9,1024,13
Gxpi2:0(Gxpi2:0Gypi2:0)^512Gxpi2:0@(0)  637  387,Gxpi2:0,Gxpi2:0Gypi2:0,512,Gxpi2:0,Gxpi2:0,Gxpi2:0,2,4,512,2,2,10,512,12
Gxpi2:0(Gxpi2:0Gypi2:0)^512Gypi2:0Gypi2:0Gypi2:0@(0)  357  667,Gxpi2:0,Gxpi2:0Gypi2:0,512,Gypi2:0Gypi2:0Gypi2:0,Gxpi2:0,Gypi2:0Gypi2:0Gypi2:0,2,4,512,6,2,10,512,16
Gypi2:0(Gxpi2:0Gypi2:0)^512Gypi2:0Gypi2:0Gypi2:0@(0)  510  514,Gypi2:0,Gxpi2:0Gypi2:0,512,Gypi2:0Gypi2:0Gypi2:0,Gypi2:0,Gypi2:0Gypi2:0Gypi2:0,3,4,512,6,3,10,512,16
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^512Gypi2:0@(0)  351  673,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,512,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,4,512,3,5,10,512,13
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gypi2:0)^512Gxpi2:0Gxpi2:0@(0)  687  337,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gypi2:0,512,Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0,5,4,512,4,5,10,512,14
(Gxpi2:0Gxpi2:0Gypi2:0)^341@(0)  572  452,,Gxpi2:0Gxpi2:0Gypi2:0,341,,,,-1,5,341,-1,-1,11,341,-1
Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^341Gxpi2:0Gxpi2:0Gxpi2:0@(0)  384  640,Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,341,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,2,5,341,5,2,11,341,15
Gypi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^341Gxpi2:0Gxpi2:0@(0)  780  244,Gypi2:0,Gxpi2:0Gxpi2:0Gypi2:0,341,Gxpi2:0Gxpi2:0,Gypi2:0,Gxpi2:0Gxpi2:0,3,5,341,4,3,11,341,14
Gxpi2:0Gxpi2:0Gxpi2:0(Gxpi2:0Gxpi2:0Gypi2:0)^341Gypi2:0@(0)  405  619,Gxpi2:0Gxpi2:0Gxpi2:0,Gxpi2:0Gxpi2:0Gypi2:0,341,Gypi2:0,Gxpi2:0Gxpi2:0Gxpi2:0,Gypi2:0,5,5,341,3,5,11,341,13
